Designator,Mid X,Mid Y,Rotation,Layer
BT1,136.0,-109.0,0.0,bottom
C1,144.5,-87.25,180.0,bottom
C2,143.7375,-89.8,180.0,bottom
C3,123.5,-115.75,180.0,top
C4,123.5,-114.0,180.0,top
C5,123.5,-112.25,180.0,top
C6,135.6,-99.4,180.0,top
C7,132.2,-101.2,180.0,top
C8,132.2,-103.0,180.0,top
H1,148.0,-98.0,180.0,bottom
H2,124.0,-98.0,180.0,bottom
J1,137.16,-83.0,0.0,top
J2,144.780707,-82.999293,0.0,top
J3,139.7,-83.0,0.0,top
J4,142.240707,-82.999293,0.0,top
J5,137.16,-83.0,180.0,bottom
J6,144.780707,-82.999293,180.0,bottom
J7,139.7,-83.0,180.0,bottom
J8,142.241414,-82.998586,180.0,bottom
LS1,144.25,-90.25,0.0,top
Q1,143.0,-118.0,180.0,top
Q2,143.0,-111.0,180.0,top
Q3,143.0,-104.0,180.0,top
R1,142.0,-97.0,90.0,top
R10,139.9125,-94.0,0.0,bottom
R11,124.0,-94.0,180.0,bottom
R12,132.0,-95.75,180.0,top
R2,143.5,-97.0,270.0,top
R3,145.0,-121.0,0.0,top
R4,145.0,-114.0,0.0,top
R5,136.0,-95.75,180.0,top
R6,136.0,-94.0,0.0,bottom
R7,145.0,-107.0,0.0,top
R8,128.0,-94.0,180.0,bottom
R9,132.0,-94.0,180.0,bottom
SW1,130.0,-83.95,0.0,top
U2,132.0,-113.0,0.0,top
U3,130.0,-90.0,0.0,top
